Generated by : Dr. Ray Islam,,,,,,,,,
Genration Date: 04/10/2023,,,,,,,,,
Tool Used: Google Co-lab,,,,,,,,,
Model Used: CTGAN,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE
0,Cash loans,F,N,N,0,65878.5,497848.3,25619.6,462973
0,Cash loans,F,Y,Y,0,74696.5,353053.6,13282.2,289643.9
0,Cash loans,F,N,Y,1,74179.8,414986.3,26303,448423.7
0,Cash loans,F,N,Y,0,87000.1,346273.9,22909.5,253721.2
0,Cash loans,F,N,N,0,110875,544069.4,27114.5,449756.9
0,Cash loans,M,N,Y,1,158525.6,234852.7,13059.6,233355.9
0,Cash loans,F,N,Y,1,226220.7,1322803.8,34389.1,882915.7
0,Cash loans,M,Y,Y,2,93211.4,189497.4,19643.4,397970.9
0,Cash loans,F,N,Y,0,198911.7,579316.2,29875.7,456431.7
0,Revolving loans,M,Y,Y,0,59032.8,127812.8,9229.7,191749.6
0,Cash loans,F,N,Y,0,193803.5,234682.5,9016.6,194363.8
0,Cash loans,F,N,Y,0,73401.9,344607,17694.3,202750.9
0,Cash loans,F,N,Y,1,122565,174689.1,15755.6,227149.3
1,Cash loans,F,N,Y,1,305347.2,118146.2,29116.4,130037.2
0,Cash loans,F,N,N,0,209473.4,439461.4,26900.4,525103.3
0,Cash loans,M,N,Y,1,344965.6,479137.2,31248.3,434591.7
0,Cash loans,M,N,N,0,655649,1936416.3,64896.1,1854520.4
0,Cash loans,M,Y,Y,0,74444.9,194730.9,7526,313714.3
0,Cash loans,F,N,N,0,219437.8,991641.9,29141.8,837622.5
0,Cash loans,F,N,Y,0,209921.1,919562.1,43239.2,683502.1
0,Cash loans,M,N,Y,0,140734.6,983403.8,67977.8,852721.5
0,Revolving loans,M,N,N,1,429966.1,338454.2,36965.2,387172
0,Cash loans,M,N,Y,1,182370,1144898.4,45355.5,886627.9
0,Cash loans,F,N,N,1,104485.8,896163.2,53820,875187.1
0,Revolving loans,M,Y,Y,0,159544.3,118158.5,6807.3,336935.8
0,Cash loans,F,N,Y,1,153666.9,591750.3,14880.1,332751.3
0,Revolving loans,M,N,Y,2,109239,74000.7,8630.1,118219.1
0,Cash loans,F,N,Y,1,175513.4,793518.1,22071,677888.6
0,Cash loans,F,N,Y,0,103549.8,1362668.6,36921.9,854377.6
0,Cash loans,M,N,N,0,321335.7,646186.7,35424.9,465384.4
0,Cash loans,F,N,Y,0,113579.4,151663.4,10492.1,220611.5
0,Cash loans,F,N,N,0,178014.6,965271,34194.4,837894.2
0,Cash loans,M,N,Y,1,238223,519196.2,34584.6,454171.2
0,Cash loans,F,N,Y,0,121583.7,693022.1,30722.8,579086.6
0,Cash loans,F,N,N,1,133716,717757.6,29938.6,534943.3
0,Revolving loans,F,N,Y,0,86602.6,205729.3,7300.9,354228.9
0,Cash loans,M,N,Y,1,179605.7,774678.6,49568.3,688773
0,Revolving loans,F,N,Y,3,255881.2,112735.3,13854.5,205343.3
0,Cash loans,F,N,Y,0,88626,586627.8,33852.6,479254.4
0,Cash loans,M,N,N,0,72795.4,762739,29376,917164.8
0,Cash loans,F,N,N,0,54942.7,246323.6,10195.9,185986.2
0,Revolving loans,M,Y,Y,0,54792.3,92621.7,5460,82868.3
0,Cash loans,F,N,Y,0,214613.4,1129520.4,31520.2,926158.2
0,Revolving loans,F,N,Y,2,194961.4,248611.7,4468.6,165580.3
0,Revolving loans,M,Y,Y,0,79537.3,180885.7,7115.4,124372.2
0,Cash loans,M,N,Y,3,218041.2,229098.3,19398.9,238272.3
0,Cash loans,F,N,N,2,182394.8,231163.1,15787.9,219072.6
0,Cash loans,M,N,N,1,135114.1,731775.3,23060.7,452507.9
1,Cash loans,F,N,Y,1,153852.3,919473.8,42335.3,691165.3
0,Revolving loans,F,N,Y,1,244360,576445.6,30721,660394.5
0,Revolving loans,M,Y,Y,0,73323.8,209786.6,11194.9,223905.5
0,Cash loans,F,N,N,1,149505.4,937000.3,39961.6,676854.4
1,Cash loans,F,N,N,0,112451.9,401455.8,13577.9,202800.8
0,Cash loans,F,N,Y,1,161359,1136724,33585.1,880147.6
0,Revolving loans,F,N,Y,0,76875.8,239581.9,11563.4,228092
0,Revolving loans,M,Y,Y,0,88567.1,101476.3,9145,190729.7
0,Cash loans,F,N,N,0,183050.1,850899.4,35472.7,831785.2
0,Cash loans,F,N,Y,0,126971.1,739033.2,31212.7,675318.4
0,Cash loans,F,N,Y,0,138408.2,439724.4,38046.5,341220.9
0,Cash loans,F,N,N,0,72039.7,545271.7,21181.1,460443.9
0,Cash loans,F,N,Y,2,135936.9,235302.2,27468.5,195240.1
1,Cash loans,M,N,Y,2,179510,527420.9,43843.1,637485
0,Cash loans,F,N,Y,0,156186.9,186655.3,14339.4,167962.3
0,Revolving loans,M,N,Y,0,161212.6,718631.8,30301.2,697185.1
0,Cash loans,M,N,N,1,113254.1,723836.8,30557.6,681140.2
0,Cash loans,M,N,Y,0,93420.7,336500.5,14344.4,209621.6
0,Cash loans,F,N,N,2,156785.5,372800.5,20857.8,293835.9
1,Cash loans,F,N,N,2,309815.3,783480.4,33294.8,600948.1
0,Cash loans,M,Y,Y,0,269128.8,184845.4,19286.3,292041.4
0,Revolving loans,M,N,N,2,380266.1,614478.7,35239.5,645866.9
0,Cash loans,M,N,Y,1,161481.7,579590.3,30850.3,455169.6
0,Revolving loans,M,Y,Y,0,41726.7,250111,5393.2,234850.4
0,Cash loans,F,N,Y,1,459188.9,640484.6,42732,854163.7
0,Cash loans,F,N,Y,2,173583.2,449963.3,23515.3,457734.8
1,Cash loans,M,N,Y,0,147442.6,552610.8,33760.7,470661.8
0,Cash loans,M,N,N,0,210652.6,487573.3,25034.8,543330.3
0,Cash loans,F,N,N,1,103496.1,952825,50105.5,827034.9
0,Cash loans,F,N,N,0,142083,594359.3,47386,468649.8
0,Revolving loans,F,N,Y,0,58056.1,220475.9,13427.5,235392.5
0,Revolving loans,F,N,Y,0,159755.3,219443.4,23269.4,317178.6
0,Revolving loans,F,N,Y,0,152382.9,302674.5,10265.6,190193.6
0,Cash loans,F,N,Y,0,113716.4,253074.7,24793.6,299135.7
0,Cash loans,F,N,N,1,92189.6,245524.1,12400.8,214922.1
0,Cash loans,F,N,Y,0,206621.6,504573.9,21047.1,345882.6
0,Revolving loans,F,N,Y,0,150107.1,256285.2,10566.3,70621.2
0,Cash loans,F,N,N,0,191784,75901.3,18564.8,184470
1,Cash loans,M,Y,Y,0,56225.7,102362.9,10453.6,244843.7
0,Cash loans,F,N,N,0,175103.6,449543.2,40847.8,582943.4
0,Cash loans,M,Y,Y,0,261881.4,242813.2,21649.3,288773.7
0,Cash loans,F,N,Y,1,213867.6,1422288,58789.5,1307768.4
0,Cash loans,F,N,N,0,218108.3,1182355,59405.9,882310.9
0,Revolving loans,F,N,Y,0,168795.7,166236.6,2259.5,122697.3
0,Revolving loans,F,N,Y,2,185467.9,921213.7,42316.1,699710.9
0,Cash loans,F,N,Y,0,216178.9,1419683.2,34718.1,924241.3
0,Revolving loans,F,N,Y,4,152947.6,354115.5,19221.5,327771
1,Cash loans,M,N,Y,2,179689.4,248144.6,8190,253522.9
0,Cash loans,F,N,N,0,120542.4,227345.3,14020,295906.8
0,Cash loans,F,N,N,0,214784.3,1224138.7,56249.1,1305948.6
0,Cash loans,F,N,Y,1,181565.2,992111.9,46994.5,864922.7
0,Cash loans,M,N,N,1,658718.5,728784.8,73344.1,878687.8
0,Revolving loans,M,N,Y,4,76165.6,223042.5,5637.7,159210.3
0,Cash loans,F,N,N,0,116377.9,183434.7,27612.7,286036.5
0,Revolving loans,F,N,N,0,204296.6,495638,14826.3,563523.4
0,Revolving loans,M,N,Y,1,172715.9,238034.9,5134.9,304477.8
0,Cash loans,F,N,Y,1,233328.3,1101580.2,45640.5,903392.9
0,Cash loans,F,N,Y,0,130896.8,825643.2,39182.1,915635.2
0,Cash loans,F,N,Y,0,151651.4,330158.3,20049,235626.3
0,Cash loans,F,N,N,1,431136.5,1197134.2,35121.7,1789661.2
0,Revolving loans,F,N,Y,3,158366.7,345606.3,14857,233025.2
0,Cash loans,F,N,N,1,178439.6,1322353.7,51402.9,1326936.8
0,Revolving loans,F,N,N,0,199760.5,464475,25335.9,266677.1
0,Revolving loans,M,Y,Y,0,63428,183496.6,9633,325056.2
0,Cash loans,F,N,Y,0,68038.6,571035.2,24960.9,315334.1
0,Cash loans,M,N,N,0,176606.2,856844.7,28994.5,610992.5
0,Revolving loans,F,N,Y,1,185938.9,246311,13936.9,268834.4
0,Revolving loans,F,Y,Y,0,107300.3,127608.2,11039.2,353480.4
0,Cash loans,F,N,N,0,82133.8,694165.1,24037.2,277993.6
0,Cash loans,F,N,N,0,69253.8,634211.8,29000.7,443000.4
0,Cash loans,F,N,Y,0,169277.8,1331549.4,16061.6,107314.8
0,Cash loans,F,N,Y,0,155484.9,268903.3,24013.2,273440.7
1,Cash loans,M,N,Y,2,48451.3,241688.8,8518.4,184033.8
0,Revolving loans,M,Y,Y,0,61769.4,167838.3,7920.3,264849.3
0,Cash loans,F,N,N,0,197241.8,861651.1,32381.5,867307.9
0,Cash loans,F,N,Y,0,133141.4,313932.2,13313,345370.9
0,Cash loans,M,N,N,0,97505.1,573441.6,27678,493435.7
0,Cash loans,M,N,N,0,153094.6,636796.4,23976.6,689283.3
1,Cash loans,F,N,N,0,48772.2,209448.6,16052.6,305271.9
0,Cash loans,F,N,Y,0,112362,251155.4,13512.7,163508.5
0,Cash loans,F,N,Y,0,157361.2,1059995.1,26162.7,973701.7
0,Cash loans,F,N,Y,0,202200.8,852398.3,22006.1,688973.3
0,Cash loans,M,N,Y,1,161413,721472.6,20463.7,444473.6
0,Cash loans,M,N,N,0,229715.6,684366.1,72638.6,692970.3
0,Cash loans,F,N,Y,2,155107,474977.4,9841.7,368119
0,Cash loans,M,N,Y,1,435496.6,1760557.2,55567.4,1500125.8
0,Revolving loans,M,Y,Y,0,75503.4,157134.6,10591.6,147598.8
0,Cash loans,F,N,N,0,196248.7,526305.5,24741.4,441854.3
0,Cash loans,F,N,N,0,184143.9,1307848.2,35569.4,868759.6
0,Revolving loans,F,N,Y,1,209362.5,412835.9,10937,284523.4
0,Cash loans,F,N,N,0,94940.6,458641.3,27734.2,452400.3
0,Cash loans,M,N,Y,0,135079.3,619982,32030.3,699566
0,Cash loans,F,N,Y,0,47855.9,183084.3,21119.1,164969.6
0,Cash loans,F,N,Y,0,150439,223122.8,9658.9,148320.6
0,Revolving loans,F,N,Y,1,229160.3,138720.5,18081.8,347524.9
0,Cash loans,M,Y,Y,0,83907.3,272867.8,9966.9,203667.7
0,Cash loans,M,N,Y,1,390031.7,1000965.6,61248.6,1142115.5
0,Cash loans,M,N,N,2,159762.4,482693.6,35640.7,671497.1
0,Revolving loans,M,N,Y,0,219637.5,743899.2,29343.2,519056.8
0,Cash loans,F,N,N,0,215159.2,572617.5,22794.7,437466.2
0,Cash loans,F,N,Y,1,101451.3,861471.5,29324.2,671999.8
0,Cash loans,F,N,Y,1,364593.9,1205147.5,32624.3,795768.6
0,Cash loans,F,N,N,0,71730.7,681667.7,20317.4,671710.3
0,Revolving loans,M,Y,Y,2,156894.9,120810,5484.8,282521.4
0,Cash loans,M,N,N,2,266755.9,390612.7,16011.9,299452.2
0,Revolving loans,M,Y,Y,3,110509.3,127766.3,7270.1,205926.3
0,Cash loans,F,N,N,0,130705,821124.1,27718,442674.6
0,Cash loans,F,N,N,1,230895.8,1069227.7,45586.9,822828.7
0,Revolving loans,F,N,Y,1,131970.9,434341.7,16845.8,444715.1
0,Cash loans,M,N,N,0,76561.5,993847,25909.4,672279.6
0,Cash loans,F,N,Y,3,131772.2,407713.3,16486.7,318653.7
0,Cash loans,M,Y,Y,0,63742.4,174929.2,6808.2,270523.8
0,Revolving loans,F,N,N,1,129630.3,114755.2,18221.3,300895.7
0,Cash loans,F,N,Y,1,322551.5,1512608.6,63119.5,1220665.3
0,Revolving loans,M,Y,Y,0,63780,238613.3,7053.6,213449.8
0,Cash loans,M,N,Y,0,228097.2,999917.4,76092.8,914807.9
0,Cash loans,F,N,Y,2,217596.9,922356.5,38128.4,937266.8
0,Revolving loans,M,Y,Y,0,86267.1,227300.9,7770.1,247021.2
0,Cash loans,F,N,N,1,94887,833139.6,35037.8,688072.4
0,Cash loans,F,N,N,1,58449.1,206939.2,16027.4,286100.7
0,Cash loans,F,N,Y,1,476144.8,1106019.5,29350.8,1245799.2
0,Cash loans,M,N,N,1,221459.2,435631,20751,431535.4
0,Cash loans,F,N,N,0,152390.5,689993.8,23801,192128.4
0,Revolving loans,F,N,Y,0,160509.7,306596.9,31370.2,317328.6
0,Cash loans,M,Y,Y,1,236667,207168.7,8477.1,124602.3
0,Cash loans,M,N,Y,1,452644.4,1040991.6,51048.7,1078933.6
0,Cash loans,F,N,Y,1,108883.2,656761.2,15862.3,302365.6
0,Cash loans,F,N,Y,1,127036.8,521518.9,31056.6,480450.8
0,Cash loans,F,N,Y,1,229571.2,590662.4,36666.5,661158.1
0,Revolving loans,M,N,N,2,82497.2,341621.7,13982.2,338488.2
0,Cash loans,F,N,Y,0,109319.1,263070.3,10463.5,228823.6
0,Revolving loans,M,Y,Y,0,61157.8,9955.2,7160.3,240765.1
0,Cash loans,M,N,N,1,291004.9,519028.7,21550.6,672548.7
0,Cash loans,M,N,N,0,131638.5,574064.3,27087.4,804785.4
0,Cash loans,F,N,Y,0,62884.6,544267.7,30860.8,455189
0,Cash loans,F,N,N,0,105761.6,641256.7,35746.1,682609.8
0,Cash loans,M,N,Y,0,223308,1151769.3,63094.9,691088.7
0,Revolving loans,M,N,Y,0,179036,149312.7,11009,238139.3
0,Cash loans,F,N,Y,1,653386,1242298.2,70799.9,1327138.3
0,Cash loans,F,N,Y,2,151424.6,328321.9,14758.1,228704.4
0,Cash loans,F,N,Y,2,273389.2,92520.8,12632.3,252543.4
0,Cash loans,M,N,N,1,178672,598784.9,24151.1,684351.5
0,Revolving loans,F,N,Y,1,81173.1,145938.1,6879,174531.7
0,Cash loans,M,N,N,1,372516.7,869152.5,53365.3,932627
0,Cash loans,M,N,Y,1,134926.9,287864.6,14400.9,165140.9
0,Cash loans,F,N,Y,0,203400.3,2168871.7,67312.7,1713651.3
0,Cash loans,F,N,Y,0,237497.2,363419.3,18233.2,241202.8
0,Cash loans,F,N,N,0,183264.5,620303.8,21535,283145.6
0,Cash loans,F,N,Y,0,210437.9,739373.8,23364.2,522880
0,Cash loans,M,N,Y,0,333837.9,1213562.1,38049.4,919714.6
0,Cash loans,M,N,N,0,127716.8,409400.5,24792.7,442543.2
0,Revolving loans,M,Y,Y,0,104803.7,192520.6,7342.2,138333.7
0,Cash loans,M,N,N,2,182690.6,1084510.4,62964.9,1071014.1
0,Cash loans,M,N,Y,0,123167.5,685643,26636.2,675749.4
1,Cash loans,F,N,N,0,134110.1,777099,27181.7,603086.7
0,Cash loans,M,N,N,2,49081.9,258329.7,11760.2,240777.9
0,Revolving loans,F,N,Y,3,120571.5,179643.2,16681.8,235258.1
0,Cash loans,F,N,Y,1,497661.7,1040717.8,40408.6,811952.7
0,Cash loans,M,N,N,2,157198.9,250643.2,36623.3,247969
0,Cash loans,F,N,Y,1,213643.8,1027144,27514.4,840445.9
0,Cash loans,M,N,N,0,124370.3,521645,41824.7,459819.4
0,Cash loans,F,N,N,0,220596.3,724992,53162,683208.9
0,Cash loans,M,N,N,0,170692.5,883337.3,27293.4,327744.4
0,Cash loans,F,N,Y,1,142132.6,566751.1,21842.8,447305.2
0,Cash loans,F,N,N,0,225272.6,631705.2,32957.1,680286.5
0,Revolving loans,M,N,Y,3,182294.5,1243669.3,41692.9,1084196.4
0,Cash loans,F,N,N,1,58350.6,1604597.2,40223.6,1339214.9
0,Cash loans,M,N,N,1,380292.3,781443.3,43773.1,871472
0,Cash loans,F,N,N,0,219985.8,1325360,53514.3,899059.5
0,Cash loans,M,N,Y,0,208559.6,692286.5,40703.5,668750.8
0,Cash loans,F,N,Y,0,103129.5,346395.1,28074.6,256127.5
0,Cash loans,F,N,Y,0,107421.7,207496.4,10521.3,154615.7
0,Cash loans,F,N,Y,1,177647.5,1079637.5,41954,143564.7
0,Cash loans,F,N,N,0,50901.1,394622.2,21180.6,279086.9
0,Revolving loans,M,N,Y,0,209050.9,672513.6,25969,575430
0,Cash loans,F,N,Y,2,364608.4,812583.8,52350,880506.6
1,Cash loans,F,N,Y,1,142946.5,1253699.2,34533.4,525374.1
0,Revolving loans,M,N,Y,3,246235.2,244304.1,22798.6,413794.5
0,Revolving loans,M,Y,Y,0,98959.1,179058,10870,209983.2
0,Cash loans,F,N,Y,1,80854.3,754196.4,42072.7,703299.4
0,Cash loans,F,N,Y,0,81498.1,1305156.6,19390.1,922440.1
0,Cash loans,F,N,Y,0,173732.7,133926.9,8400.2,143125.8
0,Cash loans,M,N,N,0,59278.6,172261.9,15374.9,152456.5
1,Cash loans,F,N,Y,0,129625.6,449485.6,38538.2,459122
0,Cash loans,F,N,Y,1,137056.9,430282.7,29452.2,459905.9
0,Cash loans,M,N,Y,1,155314.1,328346.1,18015.4,252000.7
0,Revolving loans,F,N,Y,1,288677.2,313485.1,28247.9,363486.5
0,Revolving loans,M,N,Y,1,217501,657007.8,24035.3,451744
0,Revolving loans,M,Y,Y,0,64661.3,85860.9,3534.6,186409.9
0,Revolving loans,M,N,Y,2,283141.2,284092.8,18364.7,479218
0,Cash loans,F,N,N,0,356655.8,1002721.9,38775.7,940510
0,Cash loans,F,N,Y,0,137363.1,568117.7,47462.8,442072.1
0,Cash loans,F,N,Y,2,82292.7,1139001.8,40226.3,877499.4
0,Cash loans,F,N,N,0,249040,359943,15638.2,362090.4
0,Revolving loans,M,N,Y,0,113232.4,76499.8,5483.5,203123
0,Cash loans,F,N,Y,1,92681.5,479791.7,11493.9,236384.6
0,Cash loans,F,N,Y,0,109132.3,109318.2,8192.6,42508
0,Revolving loans,F,N,Y,0,127972.1,671262.8,20729.8,671922.6
0,Cash loans,F,N,Y,1,163228.7,809535.1,21660.6,273299.9
0,Revolving loans,M,N,Y,0,186113.7,543982.2,19901.6,327198.5
0,Cash loans,M,N,Y,2,205636.1,729692.6,21163.8,493521.6
0,Cash loans,F,N,Y,1,216989,1497719.7,45955,1287058.7
0,Cash loans,M,N,Y,1,505334.2,734013.9,34142.3,840370.9
0,Cash loans,M,N,Y,0,241593.7,235567,10498.9,160635.7
1,Cash loans,F,N,Y,2,157764,809493.2,33091.4,547895.5
0,Revolving loans,F,N,Y,0,156588.1,64496.9,9745.4,51211.8
1,Cash loans,M,N,Y,2,185535.5,790000.3,37878,681300
0,Revolving loans,M,Y,Y,0,76278.3,262915,10244.5,328620.9
0,Cash loans,F,N,Y,0,152309.4,541910.5,22034.8,457618.2
0,Cash loans,M,N,N,0,118135.6,513593.9,17221.3,679580.3
0,Revolving loans,M,N,Y,3,179866.1,202657.3,11994.2,268630
0,Revolving loans,F,N,Y,0,130419.9,385325.5,17097.6,461029.6
0,Cash loans,F,N,Y,0,124070.9,742074.1,23203.6,688673.6
0,Cash loans,F,N,N,0,69531.7,815418,29226.3,687903.6
0,Cash loans,M,N,Y,2,99420.8,294515.7,23441.1,241540.4
0,Revolving loans,F,N,Y,0,224589.1,168903.3,9499.6,131078
0,Cash loans,F,N,Y,1,303874.5,596826,45079.6,1037971.9
0,Cash loans,F,N,N,0,173734.4,173825.1,23702.8,267513
0,Revolving loans,M,N,Y,0,228070.2,212791.7,16404.1,262835.1
0,Cash loans,F,N,N,0,52095,403633.6,20351.5,459281.4
0,Revolving loans,F,N,Y,0,194291.9,196808.4,12774.2,42034.1
1,Cash loans,M,N,Y,1,44731,211740,13108.3,62857.9
0,Revolving loans,M,Y,Y,0,272296,196124.8,5966.4,260179.4
0,Cash loans,F,N,N,0,122433.9,523188.5,32293.2,459763.9
0,Cash loans,M,Y,Y,0,91952.9,100425.9,10020,189197.3
0,Revolving loans,M,N,Y,4,161005.7,263600.4,27475.1,281041.1
0,Cash loans,M,N,Y,1,375545.5,559120.6,46860.6,447417.9
0,Cash loans,M,N,Y,1,281597.7,983286.9,37988.5,854444.7
0,Cash loans,F,N,Y,0,93703.4,1145655.4,35921,875287.6
0,Revolving loans,F,N,Y,2,83153.3,177642.4,15711.4,380678.6
0,Cash loans,F,N,Y,3,182211.8,228337.9,4256.1,173620.8
0,Cash loans,M,N,N,2,242248.4,256725.6,11933.2,244561.5
0,Cash loans,M,Y,Y,0,160302.4,233801.3,12227.1,206634.5
0,Cash loans,F,N,Y,0,71732.7,1537245.9,48118.3,829291.6
0,Cash loans,F,N,N,0,129174.5,979358.9,57318.2,899602.9
1,Cash loans,F,N,Y,0,203548.5,343395.4,9803.3,176988.2
0,Revolving loans,F,N,N,0,123232.2,416034.8,15663.5,354696.3
0,Revolving loans,M,Y,Y,0,223747,234567,6775,186498.6
0,Cash loans,F,N,N,0,86913.3,616953,25327.9,464955.3
0,Cash loans,F,N,Y,2,363761.5,572371.4,43437.2,448931
0,Cash loans,F,N,Y,2,162171.4,514317.1,45955.6,372948.2
0,Cash loans,F,N,Y,1,411151.5,938878.3,42675.3,1053717.7
0,Cash loans,F,N,Y,0,171682.6,201565.8,22964.5,274366.3
0,Cash loans,F,N,Y,3,237626,846077.7,24387.5,596680.6
0,Cash loans,F,N,Y,1,107345.6,673534.3,25988.2,870085.7
0,Cash loans,F,N,N,0,103792.6,209634.8,8487,191300.3
0,Cash loans,F,N,Y,0,62147.1,431527.2,11812.1,307561.3
0,Cash loans,F,N,N,1,74964.9,255177.1,19757.8,274261.3
0,Cash loans,M,N,N,0,217203.8,750453.1,55920.7,702459.2
0,Cash loans,M,N,N,2,180111.4,906032,52931.1,847100
0,Cash loans,M,N,N,2,185726.2,704004.5,48603.8,665028.3
0,Cash loans,F,N,N,1,60487.6,486052.6,21889.7,352436.2
0,Cash loans,F,N,Y,3,153638.1,484004.3,37672.3,466352.3
0,Cash loans,M,N,N,1,180673.7,1328214.6,64105.5,1131436.5
0,Cash loans,F,N,N,1,154369.3,240434.6,34075.7,279425.6
0,Cash loans,F,N,Y,0,63102.1,275756,10951.4,243225.1
0,Revolving loans,M,N,N,0,211051.4,792965.9,36059.4,475235.4
0,Revolving loans,M,Y,Y,0,274222.9,626303.6,34034.6,256691.7
0,Cash loans,F,N,Y,2,177943.9,255342.9,23803.6,161454.8
0,Revolving loans,F,N,Y,0,157824.2,719306.4,22540.3,386366.9
1,Cash loans,F,N,Y,0,255455.1,296220.8,8539,238446
0,Cash loans,F,N,Y,1,155819.6,413438.4,27113.4,297407.4
0,Cash loans,F,N,Y,0,97977.1,725482.7,31875.3,885669.7
0,Cash loans,F,N,Y,0,210741.1,764848.8,20960.9,663150
0,Revolving loans,M,Y,Y,0,226790.2,66605.4,10946.9,104726.5
0,Cash loans,F,N,Y,1,124807.6,547247.7,30274.7,348594.1
0,Cash loans,F,N,Y,0,186606.6,161281.3,6968.9,89015.9
0,Cash loans,F,Y,Y,0,67113,113343.3,6166,142881.2
0,Revolving loans,F,N,Y,0,206101.3,233087.7,19754.6,244198
0,Cash loans,M,N,Y,2,187835.8,743734.3,30102.9,457801.6
0,Cash loans,F,N,N,0,38518.4,198821.3,3969.9,168174.9
0,Cash loans,M,N,Y,1,150160.6,111143.9,12998.1,128099.5
0,Cash loans,F,N,N,0,115261.4,1159029.8,55020.4,1366940.9
0,Revolving loans,M,Y,Y,3,61949.7,136824.6,9341,149029.2
0,Cash loans,F,N,Y,1,213508.9,437257.3,23000.1,512653.8
0,Cash loans,F,N,N,1,178857.5,1097325.9,48916.5,917277.8
0,Cash loans,F,N,Y,2,65993.9,343346.2,8333.7,158805.4
0,Cash loans,F,N,Y,1,157151.3,372868.1,28430.8,436581.5
0,Cash loans,M,N,N,0,213425.4,727017.2,43637.2,922021.9
